Molecule,IStr,Wavelength_micron
N,"I(N El=2Do,J=3/2->El=2Do,J=5/2 angle 00 deg)",1.147
N,"I(N El=2Po,J=1/2->El=2Do,J=3/2 angle 00 deg)",1.04101
N,"I(N El=2Po,J=3/2->El=2Do,J=3/2 angle 00 deg)",1.041
N,"I(N El=2Po,J=1/2->El=2Do,J=5/2 angle 00 deg)",1.0401
N,"I(N El=2Po,J=3/2->El=2Do,J=5/2 angle 00 deg)",1.04006
N,"I(N El=2Do,J=5/2->El=4So,J=3/2 angle 00 deg)",5200.257
N,"I(N El=2Do,J=3/2->El=4So,J=3/2 angle 00 deg)",5197.902
N,"I(N El=2Po,J=1/2->El=4So,J=3/2 angle 00 deg)",3466.543
N,"I(N El=2Po,J=3/2->El=4So,J=3/2 angle 00 deg)",3466.497
HD,"I(HD v=0,J=1->v=0,J=0 angle 00 deg)",112.0707
HD,"I(HD v=0,J=2->v=0,J=0 angle 00 deg)",37.4426
HD,"I(HD v=0,J=2->v=0,J=1 angle 00 deg)",56.2283
HD,"I(HD v=0,J=3->v=0,J=1 angle 00 deg)",22.5686
HD,"I(HD v=0,J=3->v=0,J=2 angle 00 deg)",37.7008
HD,"I(HD v=0,J=4->v=0,J=2 angle 00 deg)",16.2309
HD,"I(HD v=0,J=4->v=0,J=3 angle 00 deg)",28.5012
HD,"I(HD v=0,J=5->v=0,J=3 angle 00 deg)",12.7385
HD,"I(HD v=0,J=5->v=0,J=4 angle 00 deg)",23.033
HD,"I(HD v=0,J=6->v=0,J=4 angle 00 deg)",10.5394
HD,"I(HD v=0,J=6->v=0,J=5 angle 00 deg)",19.4302
HD,"I(HD v=0,J=7->v=0,J=5 angle 00 deg)",9.0366
HD,"I(HD v=0,J=7->v=0,J=6 angle 00 deg)",16.8933
HD,"I(HD v=0,J=8->v=0,J=6 angle 00 deg)",7.9516
HD,"I(HD v=0,J=8->v=0,J=7 angle 00 deg)",15.0227
HD,"I(HD v=0,J=9->v=0,J=7 angle 00 deg)",7.1369
HD,"I(HD v=0,J=9->v=0,J=8 angle 00 deg)",13.5961
HD,"I(HD v=0,J=10->v=0,J=8 angle 00 deg)",6.5072
HD,"I(HD v=0,J=10->v=0,J=9 angle 00 deg)",12.4805
HD,"I(HD v=1,J=0->v=0,J=1 angle 00 deg)",2.822
HD,"I(HD v=1,J=0->v=0,J=2 angle 00 deg)",2.9712
HD,"I(HD v=1,J=1->v=0,J=0 angle 00 deg)",2.6895
HD,"I(HD v=1,J=1->v=0,J=1 angle 00 deg)",2.7557
HD,"I(HD v=1,J=1->v=0,J=2 angle 00 deg)",2.8977
HD,"I(HD v=1,J=1->v=0,J=3 angle 00 deg)",3.1389
HD,"I(HD v=1,J=2->v=0,J=0 angle 00 deg)",2.5718
HD,"I(HD v=1,J=2->v=0,J=1 angle 00 deg)",2.6322
HD,"I(HD v=1,J=2->v=0,J=2 angle 00 deg)",2.7615
HD,"I(HD v=1,J=2->v=0,J=3 angle 00 deg)",2.9798
HD,"I(HD v=1,J=2->v=0,J=4 angle 00 deg)",3.3277
HD,"I(HD v=1,J=3->v=0,J=1 angle 00 deg)",2.4674
HD,"I(HD v=1,J=3->v=0,J=2 angle 00 deg)",2.5807
HD,"I(HD v=1,J=3->v=0,J=3 angle 00 deg)",2.7703
HD,"I(HD v=1,J=3->v=0,J=4 angle 00 deg)",3.0686
HD,"I(HD v=1,J=3->v=0,J=5 angle 00 deg)",3.5402
HD,"I(HD v=1,J=4->v=0,J=2 angle 00 deg)",2.375
HD,"I(HD v=1,J=4->v=0,J=3 angle 00 deg)",2.5346
HD,"I(HD v=1,J=4->v=0,J=4 angle 00 deg)",2.7821
HD,"I(HD v=1,J=4->v=0,J=5 angle 00 deg)",3.1643
HD,"I(HD v=1,J=4->v=0,J=6 angle 00 deg)",3.7798
HD,"I(HD v=1,J=5->v=0,J=3 angle 00 deg)",2.2933
HD,"I(HD v=1,J=5->v=0,J=4 angle 00 deg)",2.494
HD,"I(HD v=1,J=5->v=0,J=5 angle 00 deg)",2.7968
HD,"I(HD v=1,J=5->v=0,J=6 angle 00 deg)",3.267
HD,"I(HD v=1,J=5->v=0,J=7 angle 00 deg)",4.0503
HD,"I(HD v=1,J=6->v=0,J=4 angle 00 deg)",2.2213
HD,"I(HD v=1,J=6->v=0,J=5 angle 00 deg)",2.4584
HD,"I(HD v=1,J=6->v=0,J=6 angle 00 deg)",2.8145
HD,"I(HD v=1,J=6->v=0,J=7 angle 00 deg)",3.3772
HD,"I(HD v=1,J=6->v=0,J=8 angle 00 deg)",4.3565
HD,"I(HD v=1,J=7->v=0,J=5 angle 00 deg)",2.1581
HD,"I(HD v=1,J=7->v=0,J=6 angle 00 deg)",2.4278
HD,"I(HD v=1,J=7->v=0,J=7 angle 00 deg)",2.8353
HD,"I(HD v=1,J=7->v=0,J=8 angle 00 deg)",3.4949
HD,"I(HD v=1,J=7->v=0,J=9 angle 00 deg)",4.704
HD,"I(HD v=1,J=8->v=0,J=6 angle 00 deg)",2.103
HD,"I(HD v=1,J=8->v=0,J=7 angle 00 deg)",2.402
HD,"I(HD v=1,J=8->v=0,J=8 angle 00 deg)",2.8591
HD,"I(HD v=1,J=8->v=0,J=9 angle 00 deg)",3.6204
HD,"I(HD v=1,J=8->v=0,J=10 angle 00 deg)",5.0999
HD,"I(HD v=1,J=9->v=0,J=7 angle 00 deg)",2.055
HD,"I(HD v=1,J=9->v=0,J=8 angle 00 deg)",2.3807
HD,"I(HD v=1,J=9->v=0,J=9 angle 00 deg)",2.8861
HD,"I(HD v=1,J=9->v=0,J=10 angle 00 deg)",3.7542
HD,"I(HD v=1,J=10->v=0,J=8 angle 00 deg)",2.0137
HD,"I(HD v=1,J=10->v=0,J=9 angle 00 deg)",2.3639
