Object,mstar,mstar_lower,mstar_upper,age,age_upper,age_lower
Pis24_15,24.0,22.0,26.0,3.7006128872888846,4.586722015820772,0.7645162652008006
Pis24_3,24.0,22.0,26.0,3.7006128872888846,4.586722015820772,1.1411086117270086
Pis24_2,36.0,32.0,40.0,2.560999267191788,3.019419329531562,1.095757433348078
Pis24_1,75.0,60.0,80.0,3.725364233423407,4.135117719414936,2.2432671168152276
Pis24_16,26.0,24.0,28.0,3.418986475193336,4.180172171817767,1.074100327301493
Pis24_17,70.0,55.0,80.0,2.4825157518313996,4.3303285261379525,1.95012468567573
Pis24_13,32.0,28.0,36.0,3.262576550365648,3.6627342086777595,1.614903975833245
16,20.0,20.0,20.0,4.965020837384389,4.965020837384389,4.807146782139209
B0,14.0,12.0,16.0,3.784143654448767,9.737906916782766,0.10027584286558128
B1,14.0,12.0,18.0,9.253665953037864,9.986070979226016,0.10027584286558128
B2,17.0,15.0,19.0,7.281719158557715,9.986070979226016,3.474212094340048
B4,18.0,16.0,20.0,7.381031839827869,9.9587115896412,3.826314198500898
O1,17.0,15.0,19.0,7.060929239429286,9.986070979226016,1.9188477679909348
