Object,mstar,mstar_lower,mstar_upper,age,age_upper,age_lower,FUV_luminosity,EUV_photon_counts,Atmosphere model
Pis24_15,24.0,22.0,26.0,3.7006128872888846,4.586722015820772,0.7645162652008006,2.1950548433388593e+38,1.3704910064944552e+49,Phoenix
Pis24_3,24.0,22.0,26.0,3.7006128872888846,4.586722015820772,1.1411086117270086,2.1950548433388593e+38,1.3704910064944552e+49,Phoenix
Pis24_2,36.0,32.0,40.0,2.560999267191788,3.019419329531562,1.095757433348078,4.474549920256747e+38,2.7721258855770387e+49,Phoenix
Pis24_1,75.0,60.0,80.0,3.725364233423407,4.135117719414936,2.243267116815228,2.905228945716583e+39,1.909724873339511e+50,Blackbody
Pis24_16,26.0,24.0,28.0,3.418986475193336,4.180172171817767,1.074100327301493,2.564360519088416e+38,1.5976814617168943e+49,Phoenix
Pis24_17,70.0,55.0,80.0,2.4825157518314,4.3303285261379525,1.95012468567573,1.3941383499555323e+39,8.603450438742346e+49,Phoenix
Pis24_13,32.0,28.0,36.0,3.262576550365648,3.66273420867776,1.614903975833245,3.966314954477948e+38,2.463903216166557e+49,Phoenix
16,20.0,20.0,20.0,4.965020837384389,4.965020837384389,4.807146782139209,1.5704824742316036e+38,9.862692394492651e+48,Phoenix
B0,14.0,12.0,16.0,3.784143654448767,9.737906916782766,0.1002758428655812,5.00103425497981e+37,3.1656113053023746e+48,Phoenix
B1,14.0,12.0,18.0,9.253665953037864,9.986070979226016,0.1002758428655812,6.686467480348831e+37,4.269542223517591e+48,Phoenix
B2,17.0,15.0,19.0,7.281719158557715,9.986070979226016,3.474212094340048,1.1809404368392436e+38,7.482064279743765e+48,Phoenix
B4,18.0,16.0,20.0,7.381031839827869,9.9587115896412,3.826314198500898,1.4558042445248204e+38,9.227092550129306e+48,Phoenix
O1,17.0,15.0,19.0,7.060929239429286,9.986070979226016,1.9188477679909348,1.1585319714873997e+38,7.334191474279652e+48,Phoenix
