Object ra dec spt_comb Teff Ter logL logLerr J eJ H eH K eK m36 em36 m45 em45 m58 em58 m80 em80 Ak Aker flag stage disN78_49 disN78_51
62 17:25:18.260 -34:27:27.96 G1-G5III 5342.5 222.5 2.09 0.133 13.83 0.01 12.42 0.02 11.36 0.01 9.75 0.06 9.22 0.06 8.85 0.04 8.37 0.04 1.803 0.012 --- --- 5.393 3.149
69 17:25:30.265 -34:23:08.62 G4-G8V 5585.0 95.0 2.007 0.024 13.51 0.05 12.0 0.05 11.04 0.03 9.56 0.13 8.93 0.08 8.36 0.14 nan nan 1.603 0.006 --- --- 0.82 2.129
76 17:25:34.222 -34:23:24.47 G8-K2IV-V 5265.0 225.0 1.706 0.06 12.84 0.06 11.67 0.05 11.02 0.04 10.74 0.08 10.6 0.17 nan nan nan nan 1.017 0.015 --- --- 0.213 2.126
77 17:25:34.487 -34:25:49.38 G7-K1V 5350.0 180.0 1.745 0.047 13.24 0.05 11.88 0.05 11.15 0.05 10.01 0.05 9.42 0.04 8.76 0.04 8.04 0.04 1.169 0.013 --- --- 2.629 1.234
86 17:25:41.855 -34:23:58.92 G7-G8IV 5510.0 20.0 1.795 0.01 13.58 0.03 12.13 0.03 11.3 0.03 10.01 0.04 9.54 0.06 8.98 0.04 8.4 0.05 1.362 0.002 --- --- 1.759 2.914
F44 17:25:19.064 -34:25:34.71 G6-K0V 5435.0 155.0 1.897 0.043 14.67 0.01 12.82 0.01 11.63 0.01 10.09 0.04 9.7 0.05 9.28 0.05 8.92 0.08 2.009 0.011 --- --- 3.933 2.106
F46 17:25:23.958 -34:25:24.65 G0-G4III 5440.0 250.0 2.067 0.122 14.14 0.01 12.63 0.01 11.58 0.01 10.32 0.14 10.0 0.11 9.18 0.13 nan nan 1.792 0.01 --- --- 3.066 1.083
F51 17:25:34.032 -34:23:35.28 K7-M1V 3885.0 185.0 1.007 0.053 13.34 0.05 12.12 0.06 11.59 0.05 11.25 0.08 11.14 0.12 nan nan nan nan 0.607 0.053 --- --- 0.395 1.951
F53 17:25:39.449 -34:25:25.25 M0.5-M1.5V 3725.0 75.0 0.947 0.025 13.66 0.05 12.31 0.07 11.75 0.05 10.8 0.06 10.18 0.06 9.29 0.07 7.91 0.07 0.622 0.018 0 Amb 2.472 2.128

