Object ra dec spt_comb Teff Ter logL logLerr J eJ H eH K eK m36 em36 m45 em45 m58 em58 m80 em80 Ak Aker flag stage disPis24_1 disPis24_2 disPis24_17
Pis24_15 17:24:28.95 -34:14:50.6 O7.5Vz 35000.0 500.0 4.93 0.2 9.03 0.027 8.58 0.044 8.345 0.029 nan nan nan nan nan nan nan nan 0.2 0.01 phot -99 4.173 3.638 4.297
Pis24_3 17:24:42.30 -34:13:21.4 O8V 35000.0 500.0 4.96 0.2 9.292 0.034 8.768 0.05 8.47 0.023 nan nan nan nan nan nan nan nan 0.2 0.01 phot -99 1.43 0.657 1.405
Pis24_2 17:24:43.28 -34:12:43.9 O5.5V((f)) 40000.0 500.0 5.37 0.2 8.471 0.024 7.996 0.065 7.689 0.02 nan nan nan nan nan nan nan nan 0.2 0.01 phot -99 0.785 0.0 0.75
Pis24_1NE 17:24:43.497 -34:11:56.89 O3.5If* 40000.0 500.0 5.89 0.2 6.726 0.03 6.175 0.036 5.892 0.021 nan nan nan nan nan nan nan nan 0.2 0.01 --- --- 0.0 0.785 0.271
Pis24_1SW 17:24:43.481 -34:11:57.21 O4III 44000.0 500.0 5.81 0.2 6.726 0.03 6.175 0.036 5.892 0.021 nan nan nan nan nan nan nan nan 0.2 0.01 --- --- 0.0 0.785 0.271
Pis24_16 17:24:44.48 -34:11:58.8 O7.5V 36000.0 500.0 5.0 nan 8.453 0.077 7.861 0.067 7.371 0.033 nan nan nan nan nan nan nan nan 0.2 0.01 --- --- 0.207 0.792 0.08
Pis24_17 17:24:44.72 -34:12:02.6 O3.5III(f*) 44500.0 500.0 5.92 0.2 7.816 0.035 7.281 0.033 6.975 0.018 nan nan nan nan nan nan nan nan 0.2 0.01 phot -99 0.271 0.75 0.0
Pis24_13 17:24:45.77 -34:09:39.8 O6.5V((f)) 38000.0 500.0 5.25 0.2 8.808 0.026 8.234 0.029 7.945 0.031 nan nan nan nan nan nan nan nan 0.2 0.01 phot -99 2.333 3.111 2.39
16 17:24:36.039 -34:14:00.48 O9-B0 32000.0 500.0 4.76 0.024 9.51 0.03 9.02 0.02 8.75 0.02 8.62 0.04 8.59 0.04 8.57 0.03 8.6 0.03 0.616 0.004 --- --- 2.572 1.967 2.661
B0 17:24:34.800 -34:13:17.91 O9.5-B1V 29000.0 3000.0 4.253 0.114 10.74 0.03 10.09 0.02 9.79 0.02 9.59 0.03 9.56 0.05 9.52 0.04 9.55 0.06 0.662 0.009 phot -99 2.247 1.842 2.404
B1 17:24:40.491 -34:12:06.47 O9.5-B2V 26300.0 5700.0 4.346 0.288 10.05 0.03 9.45 0.03 9.14 0.02 9.04 0.06 8.98 0.05 8.96 0.04 8.91 0.04 0.655 0.034 phot -99 0.64 0.85 0.877
B2 17:24:42.878 -34:09:11.90 O9.5-B1V 29000.0 3000.0 4.622 0.114 10.66 0.02 9.73 0.03 9.23 0.02 8.91 0.06 8.86 0.08 nan nan nan nan 1.025 0.009 phot -99 2.753 3.534 2.87
B4 17:24:55.086 -34:11:11.61 O9.5-B1V 29000.0 3000.0 4.708 0.114 10.09 0.02 9.29 0.03 8.87 0.02 8.62 0.03 8.56 0.04 8.5 0.06 nan nan 0.88 0.009 phot -99 2.514 2.885 2.306
O1 17:24:43.289 -34:11:41.89 O9-B1 29250.0 3250.0 4.621 0.126 10.0 0.05 9.313 0.06 8.972 0.04 8.78 0.05 8.7 0.04 8.66 0.03 nan nan 0.738 0.011 --- --- 0.254 1.034 0.455
N78_51 17:25:29.16 -34:25:15.6 O6Vn((f)) 41000.0 500.0 5.35 0.2 8.518 0.023 8.126 0.071 7.817 0.021 nan nan nan nan nan nan nan nan 0.2 0.01 phot -99 nan nan nan
N78_49 17:25:34.23 -34:23:11.7 O5.5IV(f) 39000.0 500.0 5.87 0.2 7.529 0.019 6.926 0.04 6.564 0.021 nan nan nan nan nan nan nan nan 0.2 0.01 phot -99 nan nan nan
118 17:26:01.897 -34:16:31.41 B0-B3 24250.0 7250.0 4.295 0.398 10.07 0.03 9.41 0.04 9.04 0.03 8.82 0.06 8.74 0.07 8.62 0.05 nan nan 0.753 0.0 nan nan nan
B10 17:25:58.088 -34:16:06.05 O7-O9V 34500.0 2000.0 4.434 0.045 11.0 0.02 10.26 0.02 9.9 0.02 9.65 0.04 9.6 0.05 9.56 0.09 nan nan 0.774 0.893 nan nan nan
B9 17:25:57.298 -34:18:50.77 O9-B3V 24750.0 7750.0 4.331 0.422 10.33 0.02 9.52 0.02 9.1 0.02 8.85 0.04 8.72 0.06 8.49 0.1 nan nan 0.847 2.509 nan nan nan
